,Unnamed: 0,hyperlink,locality,postcode,house_is,property_subtype,price,sale,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,duplicates,null
count,10023.0,10023,10023,10023.0,10023.0,10023,9761.0,0,9788.0,8280.0,10023.0,10023.0,10023.0,10023.0,3555.0,10023.0,1580.0,0,4436.0,7022.0,10023.0,10023.0,10023.0
unique,,10023,1651,,,23,,0,,,,,,,,,,0,,,,,
top,,https://www.immoweb.be/en/classified/apartment/for-sale/koekelare/8680/8955423,antwerp,,,apartment,,,,,,,,,,,,,,,,,
freq,,1,291,,,3836,,,,,,,,,,,,,,,,,
mean,5011.0,,,5137.838471515514,0.5061358874588446,,359747.2974080524,,2.863710666121782,156.306038647343,0.6827297216402275,0.028833682530180586,0.055771725032425425,0.6045096278559313,25.419971870604783,0.2768632146064053,822.6,,1446.6203787195673,2.696097977784107,0.01765938341813828,0.0,5.5679936146862214
std,2893.535208011128,,,3113.165475386561,0.49998729208768883,,447763.0844654447,,2.31185212903808,185.07476265999188,0.46543685099550314,0.16734722992949302,0.2294918174647284,0.48898015601611133,72.50504024937605,0.4474706158533851,3932.829476077464,,21336.72114047852,0.8575737367379213,0.13171659174268924,0.0,1.2530311423356866
min,0.0,,,1000.0,0.0,,10000.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,0.0,3.0
5%,501.1,,,1070.0,0.0,,119000.0,,1.0,55.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,,80.0,2.0,0.0,0.0,3.0
50%,5011.0,,,4540.0,1.0,,274000.0,,3.0,125.0,1.0,0.0,0.0,1.0,16.0,0.0,160.0,,414.0,2.0,0.0,0.0,6.0
95%,9520.9,,,9500.0,1.0,,849000.0,,5.0,345.0499999999993,1.0,0.0,1.0,1.0,71.29999999999973,1.0,2160.999999999999,,3187.0,4.0,0.0,0.0,8.0
max,10022.0,,,9992.0,1.0,,23456789.0,,100.0,9250.0,1.0,1.0,1.0,1.0,3749.0,1.0,80778.0,,1379000.0,6.0,1.0,0.0,10.0
dtypes,int64,object,object,int64,bool,object,float64,float64,float64,float64,bool,bool,bool,bool,float64,bool,float64,float64,float64,float64,bool,int64,float64
